ID;Name;disparador;length;ranking
PLBWX5XYGQ2B3GP7IN8Q-danielalallopizzo@botmaker.io-1600384344568;AG01CUX01 Exención ABL Sala teatral;cómo hago para que me bonifiquen el abl por ser dueño de una sala teatral;73;12
PLBWX5XYGQ2B3GP7IN8Q-danielalallopizzo@botmaker.io-1600286070955;TR03CUX26 Apertura | Distritos económicos: Inscripción al Registro del Distrito Tecnológico (Provisoria y definitiva);qué necesito para inscribirme al registro del distrito tecnológico;66;13
PLBWX5XYGQ2B3GP7IN8Q-danielalallopizzo@botmaker.io-1600435646950;AG01CUX01 Impuesto al Sello: Reintegro;qué necesito hacer para tramitar el reintegro en impuesto al sello;66;13
PLBWX5XYGQ2B3GP7IN8Q-danielalallopizzo@botmaker.io-1600435646950;AG01CUX01 Impuesto al Sello: Reintegro;requisitos para tramitar el reintegro en impuesto al sello;58;14
PLBWX5XYGQ2B3GP7IN8Q-danielalallopizzo@botmaker.io-1600438861915;AG01CUX01 Apertura | Ministerio de Economía y Finanzas | AGIP | Impuesto inmobiliario;qué necesito hacer para tramitar el impuesto inmobiliario;57;15
PLBWX5XYGQ2B3GP7IN8Q-danielalallopizzo@botmaker.io-1600285320435;TR03CUX26 Apertura | Compras y Contrataciones - Inscripciones (personas fisicas, juridicas, sociedades de hecho, talleres protegidos y uniones transitorias);cómo me inscribo como proveedor del gobierno de la ciudad;57;15
PLBWX5XYGQ2B3GP7IN8Q-danielalallopizzo@botmaker.io-1600383310152;AG01CUX01 Exenciones de jubilados, pensionados y personas con discapacidad ;necesito dar de baja la exención del pago de contribución;57;15
PLBWX5XYGQ2B3GP7IN8Q-danielalallopizzo@botmaker.io-1600433637944;AG01CUX01 Impuesto al Sello;qué necesito hacer para el trámite de impuestos al sello;56;16
PLBWX5XYGQ2B3GP7IN8Q-danielalallopizzo@botmaker.io-1600433637944;AG01CUX01 Impuesto al Sello;requisitos para hacer el trámite de impuestos al sello;54;17
PLBWX5XYGQ2B3GP7IN8Q-danielalallopizzo@botmaker.io-1600367026808;AG01CUX01 Control Fiscal: descargos;quiero saber como y que necesito para hacer descargos;53;18
PLBWX5XYGQ2B3GP7IN8Q-guadalupe@botmaker.io-1561558011310;TR03CUX09 Solicitud plantas;solicitar colocación de plantas en un espacio verde;51;19
PLBWX5XYGQ2B3GP7IN8Q-guadalupe@botmaker.io-1570719759003;TR03CUX22 Permisos de usos - Evento estándar;trámite para realizar eventos estándar en la ciudad;51;19
PLBWX5XYGQ2B3GP7IN8Q-dario@botmaker.io-1592973735871;AG01CUX01 Apertura;administracion gubernamental de ingresos publicos;49;20
PLBWX5XYGQ2B3GP7IN8Q-dario@botmaker.io-1592973735871;AG01CUX01 Apertura;administracion gubernamental de ingresos publicos;49;20
PLBWX5XYGQ2B3GP7IN8Q-dario@botmaker.io-1592973735871;AG01CUX01 Apertura;administracion gubernamental de ingresos publicos;49;20
PLBWX5XYGQ2B3GP7IN8Q-smrwnbpyws@b.m-1701797614283;AG01CUX01 AGIP: Trámites auto;administracion gubernamental de ingresos publicos;49;20
PLBWX5XYGQ2B3GP7IN8Q-dario@botmaker.io-1592973735871;AG01CUX01 Apertura;administracion gubernamental de ingresos publicos;49;20
PLBWX5XYGQ2B3GP7IN8Q-dario@botmaker.io-1592973735871;AG01CUX01 Apertura;administracion gubernamental de ingresos publicos;49;20
